name,href,heat,kouwei,waiguan,xingjiabi,zonghe,type,tar,nicotine,co,length,filter_length,circumference,packaging,main_color,sub_color,per_pack_count,packs_per_carton,pack_price,carton_price,pack_barcode
白沙(硬新和气生财细支) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/5613,,,,,,烤烟型,8,08,7,97,,,纸质硬盒,,,20,10,,,6901028064712
白沙(硬精品) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/14,,,,,,烤烟型,8,08,9,84,20,24,纸质硬盒,银,绿,20,10,12,120,6901028191043
白沙(红运当头) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3539,,,,,,烤烟型,10,1,11,84,,,纸质硬盒,红色,金色,20,10,20,200,6901028063692
白沙(硬) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/922,,,,,,烤烟型,10,08,12,84,20,24,纸质硬盒,白色,,20,10,9,90,6901028191029
白沙(软) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/17,,,,,,烤烟型,10,1,13,84,20,24,纸质软包,白,绿,20,10,10,100,6901028191012
白沙(硬和天下尊享84mm) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/4628,,,,,,烤烟型,10,1,7,84,,,纸质硬盒,白色,金色,20,10,120,1200,6901028205658
白沙(硬和天下双中支)中免 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/6117,,,,,,烤烟型,10,09,10,89,25,,纸质硬盒,紫色,金色,20,10,100,900,6901028204798
白沙(尚品蓝) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/1872,,,,,,烤烟型,10,1,12,84,,,纸质硬盒,蓝色,,20,10,16,160,6901028196406
白沙(精品二代) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/18,,,,,,烤烟型,10,09,12,84,25,24,纸质硬盒,深蓝,金,20,10,13,130,6901028191098
白沙(软珍品) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/4364,,,,,,烤烟型,10,1,12,84,25,,纸质软包,蓝色,,20,10,30,300,6901028204859
白沙(硬细支和气生财) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3651,,,,,,烤烟型,8,08,7,97,,,纸质硬盒,金色,棕色,20,10,55,550,6901028201148
白沙(特制精品) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/13,,,,,,烤烟型,10,08,13,84,20,24,纸质硬盒,绿,金,20,10,10,100,6901028191432
白沙(软和天下檀香) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3527,,,,,,烤烟型,11,11,13,84,,,纸质软包,白,,20,,90,900,6901028063210
白沙(和天下·天下韶山) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/6806,,,,,,烤烟型,11,11,13,84,25,,纸质硬盒,深紫,紫,20,10,100,1000,6901028196925
白沙(和天下)专供出口 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/6624,,,,,,烤烟型,11,11,13,84,25,,纸质硬盒,深紫,紫,20,10,100,1000,6901028063333
白沙(珍品) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/19,,,,,,烤烟型,11,1,12,84,25,24,纸质软包,深蓝,金,20,10,33,330,6901028192330
白沙(细支白) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/3089,,,,,,烤烟型,6,06,6,97,,,纸质硬盒,白,黑,20,,22,220,6901028201179
白沙(新精品) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/921,,,,,,烤烟型,11,1,12,84,25,24,纸质硬盒,银灰,绿,20,,8,80,6901028196680
白沙(硬白细支) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/4686,,,,,,烤烟型,6,06,6,97,30,,纸质硬盒,白色,蓝色,20,10,22,220,6901028204910
白沙(黑和出口) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/771,,,,,,烤烟型,12,09,10,84,25,24,纸质硬盒,黑色,金色,20,,20,200,6901028192538
白沙(利事硬蓝) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/4073,,,,,,烤烟型,13,11,,84,,,纸质硬盒,蓝色,,20,10,10,100,6901028069120
白沙(紫和) 香烟正品价格表，真伪鉴别口感评测各地价格多少钱 [香烟信息-烟悦网],https://www.yanyue.cn/product/21,,,,,,烤烟型,14,11,12,84,25,24,纸质硬盒,紫,金红,20,,20,200,6901028192668
